FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,MQ9Q3ZD/A,iPhone 14/Plus/Pro/Pro Max,2607.0,426.0,104.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ9X3ZD/A,iPhone 14/Plus/Pro/Pro Max,3950.0,774.0,155.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ052B/A,Mac Accessories & Display,47.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ503ZD/A,iPhone 14/Plus/Pro/Pro Max,1213.0,73.0,13.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ573ZD/A,iPhone 14/Plus/Pro/Pro Max,665.0,77.0,15.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQAH3ZD/A,iPhone 14/Plus/Pro/Pro Max,646.0,86.0,22.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQC43ZD/A,iPhone 14/Plus/Pro/Pro Max,319.0,25.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQD83ZM/A,AirPods Pro,7245.0,1419.0,503.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPXV3ZD/A,iPhone 14/Plus/Pro/Pro Max,3711.0,601.0,161.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM2W3ZM/A,iPhone Accessories,133.0,14.0,6.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPL53ZM/A,Watch Accessories,199.0,27.0,7.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM2L3ZM/A,iPhone Accessories,172.0,8.0,4.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHNN3B/A,iPad Pro,5.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHNQ3B/A,iPad Pro,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHQT3B/A,iPad Pro,76.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHQV3B/A,iPad Pro,7.0,0.0,0.0,2023-04-01,2023-04-08
