Week_Start_Date,Product,Sessions,PDP Add to Cart Units,Units Sold,FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Quarter_Start_Date,Data_Type,Product Code
2023-07-10,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,MacBook,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,MacBook Air,0.0,0.0,0.0,0,0,1970-01-01,0,0
